YEAR,ORIGIN_STATE_NM,DEST_STATE_NM,TOTAL_FLIGHTS
2013,Massachusetts,Wisconsin,1728
2013,Michigan,Alabama,3110
2013,Michigan,Arizona,5992
2013,Michigan,Arkansas,927
2013,Michigan,California,6069
2013,Michigan,Colorado,5556
2013,Michigan,Connecticut,3043
2013,Michigan,Florida,13005
2013,Michigan,Georgia,12495
2013,Michigan,Illinois,28202
2013,Michigan,Indiana,8956
2013,Michigan,Iowa,4118
2013,Michigan,Kentucky,6279
2013,Michigan,Louisiana,1247
2013,Michigan,Maine,2883
2013,Michigan,Maryland,7784
2013,Michigan,Massachusetts,4560
2013,Michigan,Michigan,12423
2013,Michigan,Minnesota,11645
2013,Michigan,Missouri,5156
2013,Michigan,Nebraska,2345
2013,Michigan,Nevada,4620
2013,Michigan,New Hampshire,2235
2013,Michigan,New Jersey,7014
2013,Michigan,New York,19608
2013,Michigan,North Carolina,10036
2013,Michigan,Ohio,4619
2013,Michigan,Oklahoma,1880
2013,Michigan,Oregon,596
2013,Michigan,Pennsylvania,12309
2013,Michigan,Rhode Island,3839
2013,Michigan,South Carolina,2032
2013,Michigan,South Dakota,209
2013,Michigan,Tennessee,7805
2013,Michigan,Texas,12777
2013,Michigan,Utah,3083
2013,Michigan,Vermont,2405
2013,Michigan,Virginia,9470
2013,Michigan,Washington,2601
2013,Michigan,West Virginia,1018
2013,Michigan,Wisconsin,10277
2013,Minnesota,Alabama,3
2013,Minnesota,Alaska,1779
2013,Minnesota,Arizona,8560
2013,Minnesota,California,9949
2013,Minnesota,Colorado,11335
2013,Minnesota,Connecticut,1962
2013,Minnesota,Florida,6743
2013,Minnesota,Georgia,11104
2013,Minnesota,Idaho,1304
2013,Minnesota,Illinois,19449
2013,Minnesota,Indiana,4993
2013,Minnesota,Iowa,5208
2013,Minnesota,Kansas,2246
2013,Minnesota,Kentucky,5683
2013,Minnesota,Louisiana,833
2013,Minnesota,Maryland,2556
2013,Minnesota,Massachusetts,3441
2013,Minnesota,Michigan,11645
2013,Minnesota,Minnesota,5970
2013,Minnesota,Missouri,6690
2013,Minnesota,Montana,2707
2013,Minnesota,Nebraska,4758
2013,Minnesota,Nevada,4290
2013,Minnesota,New Jersey,4571
2013,Minnesota,New Mexico,428
2013,Minnesota,New York,6647
2013,Minnesota,North Carolina,4903
2013,Minnesota,North Dakota,11392
2013,Minnesota,Ohio,6732
2013,Minnesota,Oklahoma,2620
2013,Minnesota,Oregon,2783
2013,Minnesota,Pennsylvania,6323
2013,Minnesota,Rhode Island,216
2013,Minnesota,South Dakota,6447
2013,Minnesota,Tennessee,4900
