YEAR,MONTH,STATE,TOTAL_FLIGHTS
2013,12,South Carolina,1361,0
2013,12,South Dakota,653,0
2013,12,Tennessee,4954,0
2013,12,Texas,23752,0
2013,12,Utah,8735,0
2013,12,Vermont,370,0
2013,12,Virginia,5786,0
2013,12,Washington,8346,0
2013,12,West Virginia,291,0
2013,12,Wisconsin,2857,0
2013,12,Wyoming,250,0
2014,1,Alabama,1094,0
2014,1,Alaska,1284,0
2014,1,Arizona,13343,0
2014,1,Arkansas,1151,0
2014,1,California,18481,0
2014,1,Colorado,17977,0
2014,1,Connecticut,1800,0
2014,1,Delaware,55,0
2014,1,Florida,9206,0
2014,1,Georgia,30796,0
2014,1,Hawaii,3771,0
2014,1,Idaho,830,0
2014,1,Illinois,21497,0
2014,1,Indiana,2251,0
2014,1,Iowa,883,0
2014,1,Kansas,801,0
2014,1,Kentucky,1511,0
2014,1,Louisiana,3397,0
2014,1,Maine,336,0
2014,1,Maryland,7177,0
2014,1,Massachussets,8274,0
2014,1,Michigan,7542,0
2014,1,Minnesota,8085,0
2014,1,Mississippi,733,0
2014,1,Missouri,4141,0
2014,1,Montana,274,0
2014,1,Nebraska,1677,0
2014,1,Nevada,11050,0
2014,1,New Hampshire,554,0
2014,1,New Jersey,9267,0
2014,1,New Mexico,0
2014,1,New York,9226,0
2014,1,North Carolina,9768,0
2014,1,North Dakota,431,0
2014,1,Ohio,3339,0
2014,1,Oklahoma,1695,0
2014,1,Oregon,4375,0
2014,1,Pennsylvania,6022,0
2014,1,Rhode Island,901,0
2014,1,South Carolina,945,0
2014,1,South Dakota,590,0
2014,1,Tennessee,4662,0
2014,1,Texas,23488,0
2014,1,Utah,8685,0
2014,1,Vermont,293,0
2014,1,Virginia,5735,0
2014,1,Washington,7780,0
2014,1,West Virginia,255,0
2014,1,Wisconsin,2650,0
2014,1,Wyoming,337,0
2014,2,Alabama,995,0
2014,2,Alaska,1131,0
2014,2,Arizona,12076,0
2014,2,Arkansas,1044,0
2014,2,California,16564,0
2014,2,Colorado,16181,0
2014,2,Connecticut,1668,0
2014,2,Delaware,50,0
2014,2,Florida,8643,0
2014,2,Georgia,27994,0
2014,2,Hawaii,3383,0
2014,2,Idaho,736,0
2014,2,Illinois,19815,0
2014,2,Indiana,2077,0
2014,2,Iowa,824,0
2014,2,Kansas,667,0
2014,2,Kentucky,1374,0
2014,2,Louisiana,3159,0
2014,2,Maine,356,0
2014,2,Maryland,6570,0
2014,2,Massachussets,7751,0
2014,2,Michigan,6881,0
2014,2,Minnesota,7318,0
2014,2,Mississippi,661,0
2014,2,Missouri,3706,0
2014,2,Montana,267,0
2014,2,Nebraska,1521,0
2014,2,Nevada,10097,0
2014,2,New Hampshire,493,0
2014,2,New Jersey,8541,0
2014,2,New Mexico,0
2014,2,New York,8625,0
2014,2,North Carolina,8843,0
2014,2,North Dakota,387,0
2014,2,Ohio,3077,0
2014,2,Oklahoma,1500,0
2014,2,Oregon,3861,0
2014,2,Pennsylvania,5549,0
2014,2,Rhode Island,880,0
2014,2,South Carolina,824,0
2014,2,South Dakota,570,0
2014,2,Tennessee,4208,0
2014,2,Texas,21237,0
2014,2,Utah,7807,0
2014,2,Vermont,253,0
2014,2,Virginia,5357,0
2014,2,Washington,7028,0
2014,2,West Virginia,237,0
2014,2,Wisconsin,2409,0
2014,2,Wyoming,320,0
2014,3,Alabama,1200,0
2014,3,Alaska,1217,0
2014,3,Arizona,14736,0
2014,3,Arkansas,1159,0
2014,3,California,19041,0
2014,3,Colorado,18990,0
2014,3,Connecticut,1874,0
2014,3,Delaware,58,0
2014,3,Florida,10464,0
2014,3,Georgia,32694,0
2014,3,Hawaii,3877,0
2014,3,Idaho,959,0
2014,3,Illinois,22916,0
2014,3,Indiana,2597,0
2014,3,Iowa,790,0
2014,3,Kansas,705,0
2014,3,Kentucky,1875,0
2014,3,Louisiana,3721,0
2014,3,Maine,384,0
2014,3,Maryland,7811,0
2014,3,Massachussets,9323,0
2014,3,Michigan,8998,0
2014,3,Minnesota,8628,0
2014,3,Mississippi,730,0
2014,3,Missouri,4295,0
2014,3,Montana,339,0
2014,3,Nebraska,1670,0
2014,3,Nevada,11960,0
2014,3,New Hampshire,491,0
2014,3,New Jersey,9848,0
2014,3,New Mexico,0
2014,3,New York,10086,0
2014,3,North Carolina,9791,0
2014,3,North Dakota,401,0
2014,3,Ohio,3440,0
2014,3,Oklahoma,1740,0
2014,3,Oregon,4653,0
2014,3,Pennsylvania,6490,0
2014,3,Rhode Island,1114,0
2014,3,South Carolina,1072,0
2014,3,South Dakota,504,0
2014,3,Tennessee,4863,0
2014,3,Texas,23757,0
2014,3,Utah,9376,0
2014,3,Vermont,242,0
2014,3,Virginia,6017,0
2014,3,Washington,8270,0
2014,3,West Virginia,264,0
2014,3,Wisconsin,3006,0
2014,3,Wyoming,363,0
2014,4,Alabama,1203,0
2014,4,Alaska,1134,0
2014,4,Arizona,13562,0
2014,4,Arkansas,1204,0
2014,4,California,18544,0
2014,4,Colorado,17464,0
2014,4,Connecticut,1923,0
2014,4,Delaware,57,0
2014,4,Florida,9556,0
2014,4,Georgia,31101,0
2014,4,Hawaii,3701,0
2014,4,Idaho,910,0
2014,4,Illinois,23244,0
2014,4,Indiana,2489,0
2014,4,Iowa,788,0
2014,4,Kansas,769,0
2014,4,Kentucky,1658,0
2014,4,Louisiana,3540,0
2014,4,Maine,428,0
2014,4,Maryland,7800,0
2014,4,Massachussets,9373,0
2014,4,Michigan,8627,0
2014,4,Minnesota,8599,0
2014,4,Mississippi,707,0
2014,4,Missouri,4198,0
2014,4,Montana,288,0
2014,4,Nebraska,1533,0
2014,4,Nevada,11679,0
2014,4,New Hampshire,532,0
2014,4,New Jersey,9074,0
2014,4,New Mexico,0
2014,4,New York,9830,0
2014,4,North Carolina,9481,0
2014,4,North Dakota,491,0
