YEAR,MONTH,STATE,TOTAL_CANCELLED
2014,1,Arkansas,111
2014,1,California,446
2014,1,Colorado,716
2014,1,Connecticut,149
2014,1,Florida,380
2014,1,Georgia,2418
2014,1,Hawaii,13
2014,1,Idaho,12
2014,1,Illinois,3596
2014,1,Indiana,279
2014,1,Iowa,114
2014,1,Kansas,96
2014,1,Kentucky,128
2014,1,Louisiana,269
2014,1,Maine,41
2014,1,Maryland,409
2014,1,Massachusetts,696
2014,1,Michigan,608
2014,1,Minnesota,338
2014,1,Mississippi,66
2014,1,Missouri,325
2014,1,Montana,9
2014,1,Nebraska,160
2014,1,Nevada,217
2014,1,New Hampshire,58
2014,1,New Jersey,1041
2014,1,New York,949
2014,1,North Carolina,401
2014,1,North Dakota,65
2014,1,Ohio,483
2014,1,Oklahoma,114
2014,1,Oregon,96
2014,1,Pennsylvania,377
2014,1,Rhode Island,90
2014,1,South Carolina,130
2014,1,South Dakota,81
2014,1,Tennessee,340
2014,1,Texas,735
2014,1,Utah,117
2014,1,Vermont,50
2014,1,Virginia,408
2014,1,Washington,122
2014,1,West Virginia,51
2014,1,Wisconsin,218
2014,1,Wyoming,14
2014,2,Alabama,65
2014,2,Alaska,14
2014,2,Arizona,157
2014,2,Arkansas,56
2014,2,California,391
2014,2,Colorado,401
2014,2,Connecticut,149
2014,2,Florida,278
2014,2,Georgia,2230
2014,2,Hawaii,10
2014,2,Idaho,10
2014,2,Illinois,1399
2014,2,Indiana,128
2014,2,Iowa,64
2014,2,Kansas,43
2014,2,Kentucky,104
2014,2,Louisiana,109
2014,2,Maine,46
2014,2,Maryland,452
2014,2,Massachusetts,593
2014,2,Michigan,281
2014,2,Minnesota,257
2014,2,Mississippi,47
2014,2,Missouri,167
2014,2,Montana,4
2014,2,Nebraska,63
2014,2,Nevada,191
2014,2,New Hampshire,64
2014,2,New Jersey,1293
2014,2,New York,555
2014,2,North Carolina,802
2014,2,North Dakota,21
2014,2,Ohio,223
2014,2,Oklahoma,67
2014,2,Oregon,97
2014,2,Pennsylvania,429
2014,2,Rhode Island,75
2014,2,South Carolina,77
2014,2,South Dakota,28
2014,2,Tennessee,226
2014,2,Texas,1338
2014,2,Utah,76
2014,2,Vermont,33
2014,2,Virginia,508
2014,2,Washington,92
2014,2,West Virginia,34
2014,2,Wisconsin,121
2014,2,Wyoming,9
2014,3,Alabama,19
2014,3,Alaska,7
2014,3,Arizona,79
2014,3,Arkansas,32
2014,3,California,197
2014,3,Colorado,259
2014,3,Connecticut,35
2014,3,Delaware,1
2014,3,Florida,93
2014,3,Georgia,270
2014,3,Hawaii,10
2014,3,Idaho,5
2014,3,Illinois,771
2014,3,Indiana,51
2014,3,Iowa,22
2014,3,Kansas,17
2014,3,Kentucky,49
2014,3,Louisiana,25
2014,3,Maine,20
2014,3,Maryland,230
2014,3,Massachusetts,199
2014,3,Michigan,179
2014,3,Minnesota,86
2014,3,Mississippi,18
2014,3,Missouri,96
2014,3,Montana,4
2014,3,Nebraska,26
2014,3,Nevada,77
2014,3,New Hampshire,6
2014,3,New Jersey,350
2014,3,New York,242
2014,3,North Carolina,148
2014,3,North Dakota,20
2014,3,Ohio,109
2014,3,Oklahoma,37
2014,3,Oregon,25
2014,3,Pennsylvania,153
2014,3,Rhode Island,20
2014,3,South Carolina,34
2014,3,South Dakota,17
2014,3,Tennessee,134
2014,3,Texas,634
2014,3,Utah,46
2014,3,Vermont,27
2014,3,Virginia,394
2014,3,Washington,41
2014,3,West Virginia,21
2014,3,Wisconsin,56
2014,3,Wyoming,25
2014,4,Alabama,17
2014,4,Alaska,3
2014,4,Arizona,72
2014,4,Arkansas,23
2014,4,California,144
2014,4,Colorado,122
2014,4,Connecticut,7
2014,4,Florida,47
2014,4,Georgia,114
2014,4,Hawaii,14
2014,4,Idaho,9
2014,4,Illinois,468
